budget_factor,algname,fid,dim,lib,fx,
5000,bipop,18,2,Baselines,-7.802681196,
5000,bipop,18,5,Baselines,-6.728886619,
5000,bipop,18,10,Baselines,-3.725359322,
5000,bipop,18,20,Baselines,-3.09127797,
5000,bipop,19,2,Baselines,-6.814484574,
5000,bipop,19,5,Baselines,-1.299230471,
5000,bipop,19,10,Baselines,-0.628928427,
5000,bipop,19,20,Baselines,-0.284899211,
5000,bipop,20,2,Baselines,-6.260990717,
5000,bipop,20,5,Baselines,-0.295856783,
5000,bipop,20,10,Baselines,0.09868353,
5000,bipop,20,20,Baselines,0.182246351,
5000,bipop,21,2,Baselines,-7.661579019,
5000,bipop,21,5,Baselines,-5.303668745,
5000,bipop,21,10,Baselines,-4.324216128,
5000,bipop,21,20,Baselines,-2.519372484,
5000,bipop,22,2,Baselines,-7.387329266,
5000,bipop,22,5,Baselines,-4.089377468,
5000,bipop,22,10,Baselines,-1.400140296,
5000,bipop,22,20,Baselines,-0.097634875,
5000,bipop,23,2,Baselines,-6.517719385,
5000,bipop,23,5,Baselines,-3.286558644,
5000,bipop,23,10,Baselines,-0.401886226,
5000,bipop,23,20,Baselines,-0.430943076,
5000,bipop,24,2,Baselines,-0.210842609,
5000,bipop,24,5,Baselines,0.623222299,
5000,bipop,24,10,Baselines,1.032910279,
5000,bipop,24,20,Baselines,1.409734398,
10000,bipop,1,2,Baselines,-8,
10000,bipop,1,5,Baselines,-8,
10000,bipop,1,10,Baselines,-8,
10000,bipop,1,20,Baselines,-8,
10000,bipop,2,2,Baselines,-8,
10000,bipop,2,5,Baselines,-8,
10000,bipop,2,10,Baselines,-8,
10000,bipop,2,20,Baselines,-8,
10000,bipop,3,2,Baselines,-7.858522848,
10000,bipop,3,5,Baselines,-1.773670228,
10000,bipop,3,10,Baselines,0.079817189,
10000,bipop,3,20,Baselines,1.013013513,
10000,bipop,4,2,Baselines,-3.356995215,
10000,bipop,4,5,Baselines,0.506744049,
10000,bipop,4,10,Baselines,0.82997252,
10000,bipop,4,20,Baselines,1.324009885,
10000,bipop,5,2,Baselines,-8,
10000,bipop,5,5,Baselines,-8,
10000,bipop,5,10,Baselines,-8,
10000,bipop,5,20,Baselines,-8,
10000,bipop,6,2,Baselines,-8,
10000,bipop,6,5,Baselines,-8,
10000,bipop,6,10,Baselines,-8,
10000,bipop,6,20,Baselines,-8,
10000,bipop,7,2,Baselines,-8,
10000,bipop,7,5,Baselines,-8,
10000,bipop,7,10,Baselines,-8,
10000,bipop,7,20,Baselines,-4.165480816,
10000,bipop,8,2,Baselines,-8,
10000,bipop,8,5,Baselines,-8,
10000,bipop,8,10,Baselines,-8,
10000,bipop,8,20,Baselines,-8,
10000,bipop,9,2,Baselines,-8,
10000,bipop,9,5,Baselines,-8,
10000,bipop,9,10,Baselines,-8,
10000,bipop,9,20,Baselines,-8,
10000,bipop,10,2,Baselines,-8,
10000,bipop,10,5,Baselines,-8,
10000,bipop,10,10,Baselines,-8,
10000,bipop,10,20,Baselines,-8,
10000,bipop,11,2,Baselines,-8,
10000,bipop,11,5,Baselines,-8,
10000,bipop,11,10,Baselines,-8,
10000,bipop,11,20,Baselines,-8,
10000,bipop,12,2,Baselines,-8,
10000,bipop,12,5,Baselines,-8,
10000,bipop,12,10,Baselines,-8,
10000,bipop,12,20,Baselines,-8,
10000,bipop,13,2,Baselines,-8,
10000,bipop,13,5,Baselines,-8,
10000,bipop,13,10,Baselines,-8,
10000,bipop,13,20,Baselines,-5.584416217,
