budget_factor,algname,fid,dim,lib,fx,
500,DE,4,10,OPYTIMIZER,0.923082398,
500,DE,4,20,OPYTIMIZER,1.405841036,
500,DE,5,2,OPYTIMIZER,-8,
500,DE,5,5,OPYTIMIZER,-8,
500,DE,5,10,OPYTIMIZER,-7.203990554,
500,DE,5,20,OPYTIMIZER,-6.693011685,
500,DE,6,2,OPYTIMIZER,-6.721082027,
500,DE,6,5,OPYTIMIZER,-5.66898654,
500,DE,6,10,OPYTIMIZER,-6.160036215,
500,DE,6,20,OPYTIMIZER,-5.263480008,
500,DE,7,2,OPYTIMIZER,-7.155343747,
500,DE,7,5,OPYTIMIZER,-6.500115659,
500,DE,7,10,OPYTIMIZER,-6.294984855,
500,DE,7,20,OPYTIMIZER,-0.916636836,
500,DE,8,2,OPYTIMIZER,-6.627411078,
500,DE,8,5,OPYTIMIZER,-6.235226359,
500,DE,8,10,OPYTIMIZER,-6.069679175,
500,DE,8,20,OPYTIMIZER,-5.220794285,
500,DE,9,2,OPYTIMIZER,-6.703274498,
500,DE,9,5,OPYTIMIZER,-5.433287021,
500,DE,9,10,OPYTIMIZER,-6.016034011,
500,DE,9,20,OPYTIMIZER,-4.864523907,
500,DE,10,2,OPYTIMIZER,-6.518381636,
500,DE,10,5,OPYTIMIZER,-5.988098888,
500,DE,10,10,OPYTIMIZER,-4.482743428,
500,DE,10,20,OPYTIMIZER,1.906813281,
500,DE,11,2,OPYTIMIZER,-6.40217191,
500,DE,11,5,OPYTIMIZER,-6.238364957,
500,DE,11,10,OPYTIMIZER,-5.716806527,
500,DE,11,20,OPYTIMIZER,-3.826939092,
500,DE,12,2,OPYTIMIZER,-6.367845357,
500,DE,12,5,OPYTIMIZER,-5.676940876,
500,DE,12,10,OPYTIMIZER,-4.786431525,
500,DE,12,20,OPYTIMIZER,0.659469353,
500,DE,13,2,OPYTIMIZER,-6.523367266,
500,DE,13,5,OPYTIMIZER,-6.164973747,
500,DE,13,10,OPYTIMIZER,-5.315600556,
500,DE,13,20,OPYTIMIZER,-0.764945734,
